slug,name,family,aka,operator,parent,country,jurisdiction,system_class,status,status_detail,services,orbit_regimes,dual_use,filing_authority,filing_number,filing_call_sign,filing_absent,launched,in_orbit,licensed,filed,announced,n_shells,constellation_code,constellation_code_status,spectrum,isl,first_launch,service_start,target_completion,target_completion_kind,launch_providers,n_regulatory,n_itu,n_sources,has_primary,n_discrepancies,supersedes,superseded_by,notes,added,verified,verified_age_months,stale
iridium-next,Iridium NEXT,iridium,Iridium Certus; Iridium second generation,Iridium Constellation LLC,"Iridium Communications Inc. (acquisition by Rocket Lab Corporation announced 29 June 2026, ~USD 8.0bn, subject to FCC licence transfer consent; expected to close mid-2027)",US,US,direct-to-device,operational,Replacement constellation complete since 2019 and in commercial service. One of the two original 1990s LEO operators still flying.,voice; messaging; iot; direct-to-device,LEO,dual,FCC,SAT-MOD-20131227-00148,S2110,,75,,81,81,,1,,,L; Ka,rf,,1998,,,SpaceX,1,0,3,yes,1,,,"Provenance gap: the shell geometry on this record is sourced entirely to the constellation-code draft, not to the filing. The Iridium NEXT engineering statement is public and would give the authorised altitude, inclination and plane structure directly; reading it would move three code_assumptions from assumed to exact. This is the clearest single provenance upgrade available in the registry right now. Project Stardust, Iridium's announced direct-to-device layer, has no authorisation identified and no satellite count and is therefore not recorded. The deck notes it as ""plus unknown number"".",2026-07,2026-07-29,2,no
iris2,IRIS2,iris2,"IRIS²; Infrastructure for Resilience, Interconnectivity and Security by Satellite; EU Secure Connectivity Programme","SpaceRISE consortium (SES, Eutelsat, Hispasat)",European Commission (concession holder),EU,EU,government-military,licensed,"A 12-year concession contract was signed with the European Commission on 16 December 2024, implemented with ESA support. Critical design review planned for early 2028 and launches for 2029-2030. Nothing launched.",government-secure; broadband,LEO; MEO,dual,EUSPA,,,,,,,,290,3,,,,optical-planned,,,2030,operator-target,,1,0,2,no,1,,,"Provenance gap: no primary source. The concession contract itself, the Commission's programme documentation and the member state ITU filings that will carry the spectrum have none of them been consulted. IRIS2 is the registry's worked example of a system that does not fit the filing-centred model: it is a publicly procured programme whose defining instrument is a concession contract, whose spectrum will come through member state administrations, and whose satellite count is a design target rather than an authorised ceiling. Worth discussing whether the schema should carry a distinct instrument type for procured systems.",2026-07,2026-07-29,2,no
logos-space,Logos Space,logos-space,"Logos Space Services, Inc.","Logos Space Services, Inc.","Logos Space Services, Inc.",US,US,broadband,licensed,"Granted by the FCC on 30 January 2026 for 4,178 satellites in S-, Ka-, V- and E-band, together with a waiver of the processing round rules for a list of higher bands, conditioned on participating in a future processing round. Nothing launched.",broadband; government-secure; relay,LEO,dual,FCC,SAT-LOA-20241030-00243 and SAT-AMD-20250328-00084,,,,,4178,4178,,1,,,S; Ka; V; E,rf-planned,,,2035,regulatory-milestone,,2,0,4,yes,2,,,"Provenance upgraded 2026-07-29. The grant stamp itself is not a published document with a DA number, but the Space Bureau restates its terms in DA 26-552, which is citable and is used here. Provenance gap: the orbital shells are still unknown. The grant stamp and the underlying application would give them.",2026-07,2026-07-29,2,no
lynk-global,Lynk Global,lynk-global,Lynk Towers; Lynk the Everywhere Network,"Lynk Global, Inc.",Lynk Global Holdings; SES investment and MEO-relay partnership reported,US,US,direct-to-device,deploying,"Licensed for ten satellites under the FCC's streamlined small space station process and operating commercially in partner markets. The 2,000-satellite figure in circulation has no authorisation behind it.",direct-to-device; messaging,LEO,civil,FCC,SAT-LOA-20210511-00064,S3087,,12,,10,10,2000,0,,,L; S; Ka,none,2022,,,,SpaceX,2,0,3,yes,2,,,"Provenance gap: the April 2025 modification is recorded from trade press; the grant itself has not been retrieved, so it has no file number here. Provenance gap: the 12-launched figure exceeds the 10 authorised and the discrepancy has not been resolved against ELS records. Note for the group: DA 22-969 resolves a petition to deny from Iridium and comments from Kuiper and the NRAO. The direct-to-device band is contested by incumbents and radio astronomy, which is a spectrum-governance thread worth following in its own right.",2026-07,2026-07-29,2,no
orbital-compute,Orbital Compute,orbital-compute,"Orbital; Orbital Compute, Inc.","Orbital Compute, Inc.","Orbital Compute, Inc.",US,US,orbital-compute,filed,"Application filed with the FCC in 2026 for up to 100,000 satellites totalling 10 GW of compute. No grant, nothing launched, and the company is at pre-seed funding scale.",orbital-compute,LEO,civil,FCC,,,,,,,100000,,1,,,,external,,,2028,operator-target,,1,0,2,no,1,,,"Provenance gap: no primary source, no file number, no precise filing date. Reading the application is the whole task on this record.",2026-07,2026-07-29,2,no
project-suncatcher,Project Suncatcher,project-suncatcher,Google Project Suncatcher,Google LLC,Alphabet Inc.,US,US,orbital-compute,announced,"A research programme, announced November 2025, to put Google TPUs in orbit. Two prototype satellites are to be built and operated by Planet Labs for an in-orbit demonstration in early 2027. No constellation size has been stated and no filing has been identified.",orbital-compute,LEO,civil,,,,"No filing identified. The programme is presented as research with a two-satellite demonstration, and the demonstration satellites are to be built and operated by Planet Labs, so any near-term spectrum authority would most likely sit under Planet's existing licences rather than a new Google filing. There is nothing yet to file for: no constellation size has been announced.",,,,,,1,,,,optical,2027,,,operator-target,Planet Labs,0,0,3,no,1,,,"Included with an empty `counts` block on purpose. An announced programme from an operator of this size, with no stated constellation size, is a real category and the honest representation of it is absence. Writing a speculative number here would corrupt exactly the aggregate the registry is meant to make trustworthy. Provenance gap: the Google Research post describing the system design has been cited but not read in detail; it would give the cluster geometry and the power and thermal assumptions.",2026-07,2026-07-29,2,no
qianfan,Qianfan,qianfan,Thousand Sails; G60 Starlink; Spacesail; 千帆,Shanghai Spacecom Satellite Technology (SSST) / Spacesail,Backed by the Shanghai Municipal People's Government; Chinese Academy of Sciences involvement reported,CN,CN,broadband,deploying,Launching production satellites since August 2024; regional service targeted for around 2026 and global service around 2030. Well short of the announced phase targets.,broadband,LEO,unknown,,,,"No filing reference established, and not for want of looking. The ITU Space Network List was queried on 2026-07-29 for QIANFAN, SSST, SPACESAIL, STARNET, THOUSANDSAILS, G60-STARLINK, CHINA-LEO, CHINASAT-LEO, SSST-GW, QIANFAN-1 and QF-1, all returning nothing; the SNL name search is exact, not substring, so a name we have not guessed will not surface. Scanning the non-GSO tables of six downloaded BR IFICs for Chinese networks turned up 100 or so names, none obviously this system. A filing almost certainly exists under a designation we do not know. China's national authorisations are separately not published in any docket comparable to the FCC's ICFS.",239,,,,15000,1,,,,unknown,2024-08-06,,2030,operator-target,China Aerospace Science and Technology Corporation (CASC),0,1,3,no,1,,,"Provenance gap: this record still has no primary source, and after a systematic ITU search it is now the only major system in the registry in that position. See filing_absent for what was tried. The most likely routes in are: a Chinese-language source that gives the ITU designation directly; a full SNL export filtered by administration, which the ITU server currently returns a 500 for on date-range queries; or somebody in the group with access to the BR IFIC DVD-ROM, which would allow scanning publications outside the eighteen-month download window when the filing was most likely made. ASK THE LIST. This is a good first question to put to space@irtf.org once the registry is announced: a working constellation of 239 satellites whose ITU identity we cannot find is exactly the kind of gap a group is better at closing than an individual. This record is the registry's worked example of the non-US jurisdiction problem: for FCC-licensed systems the filing, the geometry, the milestones and the spectrum are all in a public docket, and for most others they are not. Any aggregate satellite count that treats a Chinese or Russian figure as equivalent evidence to an FCC grant is comparing unlike things, and the registry should make that visible rather than smooth it over.",2026-07,2026-07-29,2,no
rassvet,Rassvet,rassvet,Dawn; Bureau 1440 Rassvet; RASSVET-1,Bureau 1440,X Holding / IKS Holding,RU,RU,broadband,deploying,"First 16 production satellites launched 23 March 2026 after an experimental phase from 2023. Of the three ITU networks filed in 2022-2023, two were suppressed at the operator's own administration's request in December 2025; only RASSVET-1 remains on file.",broadband; direct-to-device,LEO,unknown,other,CR/C 5975 (notice ID 123520004); API/A 13240,,,22,,,1350,383,1,,,,unknown,2023,,2030,operator-target,Roscosmos,0,3,6,yes,2,,,"Provenance upgraded 2026-07-29 from encyclopaedia and press to the ITU filings and publication. See scripts/itu_query.sh. Reporting on this system is heavily coloured by the war in Ukraine and by its dual-use potential, in both directions. The ITU record is the one part of the picture that is neutral and checkable, which is most of why this round of work was worth doing.",2026-07,2026-07-29,2,no
reliance-jio,Reliance Jio LEO constellation,reliance-jio,Jio sovereign LEO constellation; Jio Space,Jio Platforms Limited,Reliance Industries Limited,IN,IN,broadband,licensed,"IN-SPACe approved the proposal on 17 July 2026, four days before the IETF 126 session, judging it technically sound. The approval enables the Government of India to support the ITU filings and orbital rights the system needs; those filings are not yet made. Nothing launched.",broadband; direct-to-device,LEO,dual,IN-SPACe,,,,,,1600,1600,,1,,,,unknown,,,2029,operator-target,Not disclosed,1,0,3,no,1,,,"Provenance gap: no primary source and no citable docket. IN-SPACe authorisations are not published in a form comparable to FCC ICFS. Carlos Martinez-Cagnazzo asked at IETF 126 who the proper authority is when a company files, and Dan York used exactly this system as the example: the Indian space agency approves, then the filing goes to the ITU. This record captures that chain at the moment the first step completed and the second had not yet begun, which makes it a useful teaching case for the draft.",2026-07,2026-07-29,2,no
spacex-orbital-data-center,SpaceX Orbital Data Center System,spacex-orbital-compute,AI1; Starmind,"Space Exploration Holdings, LLC",Space Exploration Technologies Corp. (SpaceX),US,US,orbital-compute,filed,"Application filed 30 January 2026, accepted for filing 4 February 2026. No grant. This single application is the largest contributor by far to every circulating aggregate of planned satellites.",orbital-compute,LEO,civil,FCC,SAT-LOA-20260108-00016,S00798,,,,,1000000,,1,,,optical,optical,,,,,,2,0,3,yes,1,,,"Reported in the press as connected to the SpaceX/xAI merger. The application itself is for a communications authorisation; the compute payload is not what the FCC is licensing, which is worth remembering when reading the filing as evidence about data-centre capacity. Provenance gap: the application narrative and technical attachment (Attachment A) are cited in DA 26-113 but have not been read directly. They would give the shell structure, the satellite versions and the TT&C bands.",2026-07,2026-07-29,2,no
spinlaunch-meridian,SpinLaunch Meridian Space,spinlaunch,Meridian Space,"SpinLaunch, Inc.","SpinLaunch, Inc.",US,US,broadband,filed,"FCC application for roughly 1,200 satellites in Ka-, Ku- and V-band. 280 satellites contracted from Kongsberg NanoAvionics in April 2025. Nothing launched.",broadband; backhaul; government-secure,LEO,dual,FCC,,,,,,,1200,280,1,,,Ku; Ka; V,unknown,,,,,SpinLaunch,1,0,2,no,1,,,"Provenance gap: no primary source, no file number, no filing date. Worth noting for anyone modelling this system: repeating ground tracks are unusual among the constellations in this registry and change the contact pattern seen by a fixed ground station substantially. It is a good test case for the ground-station elements added in draft-piraux-space-constellation-code-02.",2026-07,2026-07-29,2,no
starcloud,Starcloud,starcloud,Lumen Orbit,"Starcloud, Inc.","Starcloud, Inc. (independent; Series A March 2026)",US,US,orbital-compute,filed,"One demonstrator on orbit (Starcloud-1, November 2025). The 88,000-satellite system is an FCC application accepted for filing in March 2026; no grant.",orbital-compute,LEO,civil,FCC,SAT-LOA-20260202-00073,,,1,,,88000,,1,,,Ka; optical,optical,2025-11-02,,,,,1,0,2,no,1,,,"Provenance gap: this record has no primary source. Everything except the demonstrator launch rests on one trade-press report of the FCC application. The application itself (ICFS SAT-LOA-20260202-00073) is public and should be read; the accepted-for-filing public notice would also be a primary source for the date. Until then every number here is secondary and the record should be read as such. Kept in the registry despite the weak provenance because orbital data centre filings are a large and fast-growing share of the aggregate satellite count, and because this system as filed depends entirely on other operators' optical crosslinks - which is exactly the kind of coupling the group should be able to see.",2026-07,2026-07-29,2,no
